                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     49,                 1.0606,                0.48815,                0.99701,                0.99932,                      1,                  0.995,                0.84712,                0.70389,                0.28091,                0.84998,               0.005347,               0.005347,               0.005347
                     50,                 1.0583,                0.48801,                0.99757,                0.99932,                      1,                  0.995,                0.84693,                0.70408,                0.28081,                0.84977,               0.005248,               0.005248,               0.005248
                     51,                 1.0549,                0.48293,                0.99498,                0.99932,                      1,                  0.995,                0.84777,                0.70352,                0.28056,                0.84952,               0.005149,               0.005149,               0.005149
                     52,                 1.0523,                0.48298,                0.99192,                0.99932,                      1,                  0.995,                0.84782,                0.70291,                0.28037,                0.84928,                0.00505,                0.00505,                0.00505
                     53,                  1.051,                0.48061,                0.99114,                0.99931,                      1,                  0.995,                0.84813,                0.70336,                0.28057,                0.84934,               0.004951,               0.004951,               0.004951
                     54,                 1.0487,                0.47997,                0.99089,                0.99932,                      1,                  0.995,                0.84812,                0.70392,                0.28027,                0.84924,               0.004852,               0.004852,               0.004852
                     55,                 1.0479,                0.47846,                0.99113,                0.99931,                      1,                  0.995,                0.84813,                0.70438,                0.27994,                0.84921,               0.004753,               0.004753,               0.004753
                     56,                 1.0452,                0.47593,                0.99194,                0.99931,                      1,                  0.995,                0.84796,                0.70426,                0.27989,                0.84894,               0.004654,               0.004654,               0.004654
                     57,                 1.0414,                0.47393,                0.99009,                0.99931,                      1,                  0.995,                0.84798,                0.70482,                0.27969,                0.84904,               0.004555,               0.004555,               0.004555
                     58,                 1.0389,                0.47254,                0.98762,                0.99931,                      1,                  0.995,                0.84794,                0.70467,                0.27957,                0.84881,               0.004456,               0.004456,               0.004456
                     59,                 1.0375,                0.47161,                0.98773,                0.99931,                      1,                  0.995,                0.84812,                0.70477,                0.27926,                0.84868,               0.004357,               0.004357,               0.004357
